,encoded_1,encoded_2,encoded_3,encoded_4,encoded_5,encoded_6,encoded_7,encoded_8,encoded_9,encoded_10,encoded_11,encoded_12,encoded_13,encoded_14,encoded_15,encoded_16,encoded_17,encoded_18,encoded_19,encoded_20,encoded_21,encoded_22,encoded_23,encoded_24,encoded_25,encoded_26,encoded_27,encoded_28,encoded_29,encoded_30,ccl_name
167,0.0,15.038423,24.93919,0.040328845,0.0,14.58839,1.9132007,24.425621,0.0,0.0,0.0,9.738282,0.0,0.0,0.0,0.0,0.0,6.5601444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.29847,0.7321333,20.788256,0.0,0.0,ACH-001302
168,0.0,29.36843,0.0,0.0,0.0,6.451858,0.0,18.22469,7.3632884,9.453919,12.33328,6.643625,0.0,0.0,0.0,18.811867,32.60816,0.0,72.98641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104759164,0.0,0.0,0.0,ACH-000690
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-001134
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.261845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.780947,0.0,0.0,83.722855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-002733
171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.31372,0.0,0.0,0.0,0.0,19.574736,6.348839,0.0,0.0,0.0,0.0,13.775151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.612865,2.1308088,0.0,54.89291,ACH-000914
172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.76724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-000858
173,0.0,35.558414,0.0,58.41948,0.0,35.415813,0.0,2.2180436,0.0,0.0,0.0,0.0,0.0,4.5719576,0.0,4.148391,0.0,16.28067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.71223,28.79475,112.95031,0.0,0.0,ACH-001421
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.182793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-000544
175,0.0,26.244658,0.0,0.0,0.0,0.0,0.0,27.218304,0.0,19.113459,31.667547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545538,68.708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-000725
176,33.82542,16.159645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.25182,0.0,28.657974,0.0,4.8944774,32.209946,8.622906,0.0,0.0,0.0,0.0,0.0,2.2475858,0.0,0.0,0.0,0.0,8.876424,15.644291,0.0,0.0,ACH-000566
177,9.074998,5.759671,4.2598896,2.3398194,0.0,22.779829,0.0,7.957302,0.0,12.370207,3.726176,0.0,0.0,6.401823,0.0,0.0,3.59441,5.4182563,7.995485,0.0,2.5130577,0.0,0.0,14.552851,12.015494,0.0,0.0,20.979712,0.0,0.0,ACH-000760
178,0.0,0.0,0.0,0.0,0.0,23.264048,99.34728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-001745
179,34.92551,10.638144,0.50889784,0.0,0.0,0.0,0.0,5.9249425,0.0,9.581161,0.0,28.78038,0.0,1.7122265,16.642632,11.640248,0.0,0.0,7.63421,0.0,0.0,7.1055484,0.0,0.0,0.37359798,0.0,28.587593,11.868878,0.0,0.0,ACH-000787
180,0.0,0.0,6.953261,32.795116,0.0,18.421892,18.9191,22.136694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.273481,0.0,31.223072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.274052,0.0,18.392202,0.0,10.325336,ACH-000749
181,56.499126,8.611803,0.0,0.0,0.0,31.022163,0.0,0.0,0.0,10.928492,0.0,0.0,0.0,0.0,0.0,0.0,45.9389,0.0,0.0,5.9146132,0.0,0.0,0.0,0.0,0.0,0.0,29.080044,0.0,13.165052,0.0,ACH-001691
182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.91269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-001328
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ACH-001068
184,0.0,0.0,10.678056,43.516624,0.0,0.0,0.0,40.77152,0.0,0.0,33.40969,26.170155,0.0,0.0,0.0,0.0,0.0,59.71989,0.0,0.0,0.0,0.0,0.0,0.0,7.0444574,47.863132,17.534084,36.141254,0.0,0.0,ACH-000358
