"","TCGA-02-0055","TCGA-04-1332"
"AC021660.4",0.42,0
"AC021678.1",0,0
"AC021678.2",0.23,0.12
"AC021678.3",0,0
"AC021683.1",0.23,1.93
"AC021683.2",0.1,1.11
"AC021683.3",0.1,0.31
"AC021683.4",0,0
"AC021683.5",0.02,0.07
"AC021683.6",0,0.65
"AC021698.1",0.06,0
"AC021701.1",0.27,0.09
"AC021713.1",0,0.2
"AC021723.1",0.2,2.06
"AC021723.2",0,1.43
"AC021733.1",0,0
"AC021733.2",0.3,0
"AC021733.3",0.21,0
"AC021733.4",0.27,0.06
"AC021736.1",0,0
"AC021739.1",0,0
"AC021739.2",0.96,0.72
"AC021739.3",0,0.18
"AC021739.4",1.06,0.7
"AC021744.1",0,0.51
"AC021749.1",0,0
"AC021752.1",0.25,0.25
"AC021753.1",0,0
"AC021755.1",0,0
"AC021755.2",0.12,0.12
"AC021755.3",0.59,0.6
"AC021766.1",0,1.36
"AC021785.1",0.23,0
"AC021818.1",0,0
"AC021820.1",0,0
"AC021851.1",0.98,1.19
"AC021851.2",0.04,0.04
"AC021860.1",0,0
"AC021863.1",0,0
"AC021876.1",0,0
"AC021915.1",0,0
"AC021915.2",0,0
"AC021945.1",0.13,0.46
"AC021979.1",0,0
"AC021979.2",0,0.46
"AC021979.3",0.04,0.08
"AC022001.1",0,1.85
"AC022001.2",0,1.23
"AC022001.3",1.34,1.5
"AC022007.1",1.58,2.36
"AC022017.1",0,0
"AC022018.1",3.44,1.96
"AC022022.1",0,1.21
"AC022022.2",0,1.06
"AC022023.1",0,0.7
"AC022023.2",0,0.06
"AC022028.1",0,0
"AC022028.2",0,0
"AC022028.3",0,0
"AC022031.1",0,0
"AC022031.2",0.04,1.19
"AC022034.1",2.76,2.38
"AC022034.2",1.08,0.41
"AC022034.3",0.42,0.84
"AC022034.4",0,0
"AC022035.1",0,0
"AC022039.1",0,0
"AC022068.1",0,0
"AC022069.1",0,0.56
"AC022079.1",0.33,0.33
"AC022079.2",0.49,0.75
"AC022080.1",0,0.38
"AC022080.2",0,0.57
"AC022081.1",0,0
"AC022087.1",0,0
"AC022092.1",1.57,0.39
"AC022098.1",1.28,1.85
"AC022098.2",0,0
"AC022098.3",0.31,1.45
"AC022098.4",0,0.73
"AC022100.1",0,0
"AC022106.1",0,0
"AC022106.2",0,0
"AC022107.1",1.45,1.94
"AC022113.1",0,0
"AC022118.1",0,0.19
"AC022121.1",0.18,0.49
"AC022126.1",0.18,0.22
"AC022133.1",0,0
"AC022133.2",0,0.38
"AC022137.1",0,0
"AC022137.2",0,0
"AC022137.3",0.16,0.99
"AC022140.1",0,0.68
"AC022140.2",0,0.5
"AC022144.1",0.83,2.53
"AC022145.1",0,0
"AC022145.2",0,0
"AC022146.1",0,0
"AC022146.2",0,3.18
"AC022148.1",0.03,0.28
"AC022148.2",0,0.19
"AC022149.1",0,0
"AC022150.1",0,0
"AC022150.2",1.94,3.04
"AC022150.3",0,0
"AC022150.4",1.19,2.98
"AC022154.1",0.08,1.08
"AC022164.1",0.04,0.04
"AC022165.1",0,0
"AC022166.1",0,0.14
"AC022166.2",0,0
"AC022167.1",0,0
"AC022167.2",0.88,1.76
"AC022167.3",0.78,1.19
"AC022167.4",0.21,0.7
"AC022168.1",0,0.17
"AC022182.1",0.08,0.16
"AC022182.2",0,0.35
"AC022188.1",0,0.19
"AC022196.1",0,0
"AC022201.1",0,0
"AC022201.2",0,0
"AC022202.1",0,0
"AC022206.1",0,0.92
"AC022210.1",0.91,1.74
"AC022211.1",0,1.06
"AC022211.2",1.24,1.01
"AC022211.3",1.72,1.74
"AC022211.4",0.15,0.32
"AC022215.1",0,0.52
"AC022215.2",0.2,0.2
"AC022217.1",0.7,0.28
"AC022217.2",0.87,0.13
"AC022217.3",0.18,0.18
"AC022217.4",0,0
"AC022239.1",0.67,0.08
"AC022239.2",0,0.51
"AC022254.1",0.41,0
"AC022267.1",0.09,1.2
"AC022272.1",0.48,0.26
"AC022276.1",0.1,0
"AC022296.1",0,1.13
"AC022296.2",0,0
"AC022296.3",1.09,1.55
"AC022296.4",0.65,0.82
"AC022306.1",0.57,0.92
"AC022306.2",1.53,1.66
"AC022306.3",0.5,0.65
"AC022308.1",0,0
"AC022325.1",0,0
"AC022325.2",0.14,0.28
"AC022335.1",0,0
"AC022336.1",0,0.3
"AC022336.2",0,0
"AC022336.3",0.11,0.7
"AC022360.1",0,0
"AC022364.1",1.41,2.06
"AC022364.2",0,0
"AC022367.1",0,0
"AC022382.1",0.75,0.55
"AC022382.2",0.76,0.97
"AC022384.1",0,0
"AC022384.2",0,0
"AC022387.1",0,0
"AC022387.2",0.47,0.71
"AC022392.1",0,0
"AC022395.1",0,0.61
"AC022400.1",1.02,1.46
"AC022400.2",0,0.53
"AC022400.3",0.34,1.4
"AC022400.4",0.77,0.98
"AC022400.5",0,0
"AC022400.6",4.65,4.75
"AC022400.7",0.03,0.09
"AC022400.8",0,0
"AC022405.1",0,1.04
"AC022413.1",1.35,1.07
"AC022413.2",0,0
"AC022414.1",0,0
"AC022415.1",1.33,1.89
"AC022415.2",0.75,0.18
"AC022417.1",1,0.62
"AC022418.1",0,0
"AC022424.1",0,0
"AC022431.1",0,0.2
"AC022432.1",1.31,0.32
"AC022433.1",0,0
"AC022440.1",0.08,0
"AC022441.1",0,0
"AC022441.2",0,0
"AC022441.3",0,0
"AC022447.1",0,0.42
"AC022447.2",0.36,0.36
"AC022447.3",0,0.21
"AC022447.4",0,0
"AC022447.5",0,0.48
"AC022447.6",0,0
"AC022447.7",0,0
"AC022463.1",0.13,0
"AC022467.1",0.86,0.14
"AC022467.2",0,0.3
"AC022469.1",0,0
"AC022469.2",0,0.48
"AC022483.1",0.86,0
"AC022486.1",0,0
"AC022493.1",0,0
"AC022493.2",0,0.4
"AC022494.1",0.4,0.15
"AC022497.1",0.37,0.98
"AC022498.1",0,0
"AC022506.1",0,0
"AC022506.2",0.5,0.58
"AC022507.1",0,0
"AC022509.1",1.56,3.84
"AC022509.2",1.72,4.96
"AC022509.3",2.34,2.96
"AC022509.4",1.88,1.32
"AC022509.5",0.06,0.06
"AC022511.1",0,0
"AC022513.1",0,0
"AC022517.1",0.29,0.74
"AC022523.1",0,0
"AC022523.2",0,0
"AC022523.3",0,0
"AC022532.1",0.39,1.09
"AC022535.1",0,0
"AC022535.2",0,0
"AC022535.3",0,0
"AC022537.1",0,0.76
"AC022540.1",0.09,0.25
"AC022558.1",0.59,1.14
"AC022558.2",0,1.02
"AC022558.3",0.53,1.24
"AC022559.1",0.46,0
"AC022596.1",0,0
"AC022596.2",0,0
"AC022601.1",0.48,0.34
"AC022613.1",1.92,4.8
"AC022613.2",1.18,1.55
"AC022613.3",0,1.07
"AC022616.1",0,0.19
"AC022616.2",0,0
"AC022616.3",0,0
"AC022616.4",0,0
"AC022616.5",0,0
"AC022616.6",0,0
"AC022616.7",0,0
"AC022616.8",0,0
"AC022634.1",0,0
"AC022634.2",0,0
"AC022655.1",0,0
"AC022662.1",0,0.3
"AC022679.1",0,1.23
"AC022679.2",0,0.56
"AC022690.1",0,0
"AC022690.2",0,0
"AC022695.1",0,0
"AC022695.2",0,0
"AC022695.3",0,0
"AC022706.1",1.43,2.78
"AC022709.1",0,0
"AC022710.1",0.06,0.34
"AC022726.1",0.45,0
"AC022726.2",0,0.36
"AC022730.1",0.34,0
"AC022730.2",0.75,0.23
"AC022730.3",0,0
"AC022730.4",0,0.05
"AC022733.1",0.19,0
"AC022743.1",0,0
"AC022748.1",0.48,0.26
"AC022748.2",0,0
"AC022748.3",0,0
"AC022762.1",0,1.1
"AC022762.2",0.42,1.28
"AC022778.1",0,0.65
"AC022784.1",0.11,0.37
"AC022784.2",0,0
"AC022784.3",0,0
"AC022784.4",0,0
"AC022784.5",1.43,0.15
"AC022784.6",0.35,0
"AC022790.1",0,0
"AC022795.1",0.97,0
"AC022809.1",0,0.45
"AC022816.1",0.09,0.09
"AC022819.1",0.13,0.38
"AC022826.1",0,0.74
"AC022826.2",0,0
"AC022832.1",0,0
"AC022832.2",0,0
"AC022858.1",0,0.05
"AC022868.1",0.1,0.15
"AC022872.1",0,0.84
"AC022874.1",0.19,0
"AC022878.1",0,0
"AC022880.1",0,0
"AC022880.2",0,0
"AC022882.1",0,0
"AC022893.1",1.69,1.96
"AC022893.2",0.19,0.46
"AC022893.3",0.43,0.24
"AC022898.1",0.35,0.36
"AC022898.2",0.08,0.96
"AC022903.1",0,0
"AC022903.2",0,0.11
"AC022905.1",0.41,0.24
"AC022915.1",1.37,0
"AC022915.2",0.12,0.04
"AC022915.3",0,0
"AC022916.1",1.78,1.89
"AC022916.2",0,0
"AC022916.3",0,0
"AC022916.4",0,0
"AC022919.1",0.17,0.8
"AC022929.1",0,0
"AC022929.2",0,0.1
"AC022960.1",0,0.29
"AC022960.2",0.55,0.3
"AC022960.3",0,0.23
"AC022966.1",0,0
"AC022966.2",0.9,0.53
"AC022968.1",2.67,1.27
"AC022973.1",0,0
"AC022973.2",0,1.06
"AC022973.3",0.04,0.87
"AC022973.4",0.22,1.81
"AC022973.5",0.32,0.42
"AC023024.1",0.61,0.08
"AC023024.2",0.25,0.92
"AC023034.1",0,1.41
"AC023043.1",1.86,1.98
"AC023043.2",0.29,0.75
"AC023043.3",0.84,1.01
"AC023043.4",3.35,2.92
"AC023049.1",1.56,0
"AC023050.1",0.32,0.33
"AC023050.2",0,0
"AC023050.3",0,0
"AC023050.4",0,0
"AC023050.5",0.08,0.08
"AC023051.1",0.76,0.77
"AC023051.2",0,0.74
"AC023055.1",0,0.04
"AC023078.1",0,0
"AC023078.2",0,0
"AC023090.1",0,0
"AC023090.2",0.05,0.73
"AC023095.1",0.3,0.77
"AC023115.1",0,0
"AC023128.1",0,0
"AC023128.2",0,0
"AC023136.1",0,0
"AC023137.1",0,0.59
"AC023141.1",0,0
"AC023141.10",0,0
"AC023141.11",0,0
"AC023141.12",0,0
"AC023141.13",0,0
"AC023141.2",0,0
"AC023141.3",0,0
"AC023141.4",0,0
"AC023141.5",0,0
"AC023141.6",0,0
"AC023141.7",0,0
"AC023141.8",0,0
"AC023141.9",0,0
"AC023154.1",0.13,0.29
"AC023157.1",1.66,0.63
"AC023157.2",2.05,3.1
"AC023158.1",0.1,0
"AC023158.2",0,0
"AC023161.1",0,0
"AC023162.1",0.22,0
"AC023194.1",0,0
"AC023194.2",0.46,0
"AC023194.3",0,0
"AC023200.1",0,0.16
"AC023202.1",0.28,0
"AC023232.1",1.23,0.35
"AC023245.1",0,0
"AC023245.2",0,0
"AC023271.1",0,0
"AC023271.2",0.1,0.36
"AC023274.1",0,0
"AC023274.2",0.2,0
"AC023282.1",0.31,0.46
"AC023283.1",0.21,0.22
"AC023296.1",0,0
"AC023300.1",0,0
"AC023300.2",1.39,3.15
"AC023300.3",0,0.02
"AC023301.1",0,0
"AC023302.1",0.83,0.96
"AC023302.2",0.22,0.05
"AC023310.1",0,0
"AC023310.2",0.19,0
"AC023310.3",0,0
"AC023310.4",0.77,0
"AC023347.1",0,0
"AC023355.1",0.3,0.96
"AC023385.1",0.74,0.16
"AC023389.1",0,2.08
"AC023389.2",0,1.48
"AC023394.1",0,0
"AC023394.2",0,0
"AC023403.1",0.11,0
"AC023421.1",0.06,0.23
"AC023421.2",0,0
"AC023424.1",0,0.23
"AC023424.2",0.08,0.18
"AC023442.1",0,0
"AC023442.2",0,0.37
"AC023442.3",0,0
"AC023449.1",1.32,0
"AC023468.1",0,0
"AC023469.1",0,0.22
"AC023469.2",0,0
"AC023480.1",0.39,0.19
"AC023481.1",0,0.24
"AC023483.1",0.38,0.46
"AC023490.1",0,0
"AC023490.2",0,0
"AC023490.3",0,0
"AC023494.1",1.48,1.32
"AC023503.1",0,0
"AC023509.1",0,0
"AC023509.2",0.05,0.18
"AC023509.3",2.5,2.24
"AC023509.4",0,0
"AC023509.5",0,1.11
"AC023509.6",0,1.23
"AC023510.1",0,0.21
"AC023510.2",0.14,0.7
"AC023511.1",0,0.18
"AC023511.2",0,0
"AC023511.3",0,0
"AC023513.1",0,0.29
"AC023538.1",0.27,0
"AC023590.1",0.07,0.7
"AC023593.1",0.08,0.29
"AC023595.1",0,0.63
"AC023632.1",0.49,0.5
"AC023632.2",1.26,0.8
"AC023632.3",0,0
"AC023632.4",0.85,0
"AC023632.5",0.39,1.37
"AC023644.1",0,0.94
"AC023669.1",0,0
"AC023669.2",0,0
"AC023762.1",0,0
"AC023781.1",0,0.37
"AC023787.1",0.39,0
"AC023787.2",0.1,0.05
"AC023787.3",0.2,0.21
"AC023790.1",0.53,0
"AC023790.2",0.09,0.22
"AC023794.1",0.65,1.35
"AC023794.2",0,0.92
"AC023794.3",0.29,1.84
"AC023794.4",0.14,1.35
"AC023794.5",0,0.98
"AC023796.1",0,0.39
"AC023796.2",0,0.23
"AC023813.1",0,0
"AC023813.2",0.22,0.41
"AC023813.3",0.51,0.37
"AC023813.4",0,0
"AC023818.1",0.41,1.73
"AC023824.1",0,0.21
"AC023824.2",0,0
"AC023824.3",0,0.05
"AC023824.4",0,0
"AC023824.5",0.09,0.4
"AC023824.6",0,0.09
"AC023825.1",0,0.29
"AC023825.2",0.3,0.76
"AC023827.1",0,0
"AC023830.1",0.26,1.01
"AC023830.2",0,0.25
"AC023830.3",0.28,0.76
"AC023855.1",0.28,0.72
"AC023866.1",0,0.43
"AC023866.2",0,0.68
"AC023905.1",0,0
"AC023906.1",1.82,3.29
"AC023906.2",0.87,0
"AC023906.3",0,0
"AC023906.4",0.38,0.38
"AC023906.5",1.06,0.57
"AC023908.1",0,0
"AC023908.2",0,0
"AC023908.3",0.63,0.67
"AC023932.1",0,0
"AC023934.1",0,0.05
"AC023946.1",0,0
"AC023950.1",0,1.44
"AC023968.1",0,0.22
"AC023983.1",0.18,1.68
"AC023983.2",0.86,2.16
"AC024022.1",0,0
"AC024023.1",0,0
"AC024028.1",0.06,0
"AC024060.1",0,0
"AC024060.2",4.03,3.73
"AC024067.1",0,0
"AC024075.1",2.34,3.02
"AC024075.2",3.45,3.35
"AC024075.3",2.2,2.74
"AC024082.1",0,0
"AC024082.2",0,0.41
"AC024084.1",0.14,0
"AC024085.1",0.24,0
"AC024132.1",0,0
"AC024132.2",0,0
"AC024132.3",0,0
"AC024145.1",0.92,1.44
"AC024153.1",0,0
"AC024224.1",0,0
"AC024224.2",0,0
"AC024230.1",0,3.1
"AC024236.1",0,0
"AC024243.1",0.48,0.38
"AC024255.1",0,0
"AC024257.1",0,0
"AC024257.2",0.6,0
"AC024257.3",0.13,0.41
"AC024257.4",0,1.13
"AC024257.5",0,0.2
"AC024267.1",0,0
"AC024267.2",0,0.64
"AC024267.3",0.35,2.74
"AC024267.4",0.11,0.55
"AC024267.5",0,1.43
"AC024267.6",0,0
"AC024270.1",0,0
"AC024270.2",0,0
"AC024270.3",0.79,1.2
"AC024270.4",0.39,0.09
"AC024288.1",0,0
"AC024293.1",8.46,7.67
"AC024337.1",0.13,0.61
"AC024337.2",0.91,0.85
"AC024341.1",0,0
"AC024361.1",1.28,2.17
"AC024361.2",1.24,0.12
"AC024361.3",0.76,0
"AC024382.1",0,0.11
"AC024405.1",0,0
"AC024405.2",0,0
"AC024451.1",0.67,0.85
"AC024451.2",2.04,2.17
"AC024451.3",0.58,0.88
"AC024451.4",0.59,1.57
"AC024475.1",0,1.19
"AC024475.2",0,0
"AC024475.3",0,0.25
"AC024558.1",0.79,0.67
"AC024559.1",0.18,0
"AC024559.2",0,0.08
"AC024560.1",0,0.75
"AC024560.2",1.05,2.59
"AC024560.3",1.94,3.91
"AC024560.4",0.75,2.02
"AC024560.5",0.02,0.03
"AC024561.1",0,1.88
"AC024563.1",0,0.12
"AC024563.2",0,0
"AC024568.1",0,0.19
"AC024575.1",1.01,0.85
"AC024579.1",0,0.27
"AC024580.1",0.54,1.91
"AC024580.2",0,0
"AC024581.1",0,0.63
"AC024581.2",0.38,0.39
"AC024587.1",0.05,0.05
"AC024587.2",0.21,0
"AC024588.1",0.13,0.34
"AC024589.1",0,0
"AC024589.2",0,0
"AC024589.3",0,0
"AC024592.1",0,0.28
"AC024592.2",0,0.26
"AC024592.3",0,0
"AC024595.1",0,1.68
"AC024597.1",0.37,0
"AC024598.1",0.21,0
"AC024603.1",0,0
"AC024610.1",0,0.31
"AC024610.2",0.06,0.3
"AC024614.1",0,0
"AC024614.2",0,0
"AC024614.3",0,0
"AC024614.4",0,0.13
"AC024619.1",0,0
"AC024619.2",0,0
"AC024619.3",0.31,1.29
"AC024619.4",3,1.16
"AC024651.1",0,0
"AC024651.2",0,0
"AC024651.3",0,0
"AC024681.1",0,0
"AC024681.2",0,0
"AC024730.1",0,0
"AC024884.1",0,1.24
"AC024884.2",0.24,0.64
"AC024896.1",0.2,0.51
"AC024901.1",0.12,1.01
"AC024909.1",0.53,1.29
"AC024933.1",0.29,1.36
"AC024933.2",0.1,0
"AC024937.1",0,1.24
"AC024937.2",0.17,0.91
"AC024937.3",0.12,1.05
"AC024940.1",0.62,0.95
"AC024940.2",4.54,4.23
"AC024940.3",0,2.89
"AC024940.4",0,0
"AC024940.5",0.22,0.41
"AC024941.1",0.75,0
"AC024941.2",1.27,0.4
"AC024958.1",0.16,0
"AC024995.1",2.1,4.51
"AC024996.1",0,0
"AC025030.1",0,0
"AC025030.2",0,0.35
"AC025031.1",0,0
"AC025031.2",0.17,0.7
"AC025031.3",0,1.04
"AC025031.4",0.13,0.39
"AC025031.5",0,0.28
"AC025033.1",0,0
"AC025034.1",0.74,0.79
"AC025034.2",0,0
"AC025038.1",0,0.76
"AC025039.1",0,0
"AC025040.1",0.07,0.07
"AC025040.2",0.22,0.06
"AC025043.1",0.17,0.7
"AC025048.1",0.19,0
"AC025048.2",0.85,0.57
"AC025048.3",0,0
"AC025048.4",0.82,0.29
"AC025048.5",0,0
"AC025048.6",1.4,0.09
"AC025048.7",0,0
"AC025062.1",1.48,2.28
"AC025062.2",0.16,0
"AC025062.3",0,0.31
"AC025125.1",0,0
"AC025154.1",0,0
"AC025154.2",0.07,3.82
"AC025160.1",0,0
"AC025161.1",0.93,0.61
"AC025162.1",0,0
"AC025162.2",0.97,1.17
"AC025164.1",0.34,0.13
"AC025164.2",0.11,0.06
"AC025165.1",0.27,0.85
"AC025165.2",0,0
"AC025165.3",0,0
"AC025165.4",1.16,2.5
"AC025165.5",2.46,2.85
"AC025165.6",0,0.07
"AC025166.1",0.56,2.85
"AC025171.1",1.82,1.19
"AC025171.2",1.02,0.98
"AC025171.3",0.12,0.23
"AC025171.4",0.85,0.53
"AC025171.5",0.41,0.67
"AC025174.1",0,0
"AC025175.1",0.68,1.61
"AC025175.2",0,0.4
"AC025176.1",0.27,0.71
"AC025178.1",1.19,1.47
"AC025180.1",0,0.25
"AC025181.1",1.07,0.81
"AC025181.2",3.73,3.18
"AC025183.1",0,0
"AC025183.2",0.07,0.07
"AC025186.1",0,0.34
"AC025187.1",0,0
"AC025188.1",0,0.33
"AC025188.2",0,0
"AC025188.3",0,0
"AC025211.1",0,1.17
"AC025244.1",0,0.41
"AC025244.2",0,0
"AC025252.1",0,0
"AC025252.2",0,0
"AC025253.1",0.19,0
"AC025253.2",0.22,0
"AC025254.1",0,0
"AC025257.1",0,0
"AC025259.1",0,0.16
"AC025259.2",0,0.14
"AC025260.1",0,0
"AC025262.1",0.2,0.6
"AC025262.2",0,0
"AC025262.3",0.08,0.08
"AC025263.1",0.15,0.12
"AC025263.2",0,0
"AC025263.3",0,0
"AC025265.1",1.37,1.12
"AC025265.2",0,0
"AC025265.3",0,0
"AC025268.1",0,0.6
"AC025271.1",0.78,0
"AC025271.2",0,0
"AC025271.3",0,0.38
"AC025271.4",0.12,0.54
"AC025272.1",0,0
"AC025277.1",0,0
"AC025278.1",0.38,0
"AC025278.2",0,0
"AC025278.3",0,0
"AC025279.1",0.02,0.65
"AC025279.2",0,0
"AC025279.3",0,0
"AC025280.1",0.37,3.03
"AC025280.2",0,0.04
"AC025280.3",0.08,1.93
"AC025281.1",0,0
"AC025283.1",0,0.15
"AC025283.2",0.24,0.09
"AC025284.1",0.06,0.06
"AC025287.1",0,0
"AC025287.2",0.65,0.55
"AC025287.3",1.25,1.8
"AC025287.4",0.17,0.25
"AC025287.5",0,0
"AC025300.1",0,0
"AC025362.1",0,0
"AC025366.1",0,0
"AC025370.1",0,0
"AC025370.2",0.8,1.82
"AC025419.1",0.46,0
"AC025423.1",0.27,0.7
"AC025423.2",0,0
"AC025423.3",0,0
"AC025423.4",0,0
"AC025423.5",0,0.77
"AC025428.1",0,0
"AC025430.1",0.21,1.36
"AC025431.1",0,0.12
"AC025434.1",0.22,0.59
"AC025437.1",0,0
"AC025437.2",0,0
"AC025437.3",0,0
"AC025437.4",0,0.3
"AC025437.5",0,0
"AC025437.6",0,0
"AC025442.1",0,0.72
"AC025442.2",0.33,0.84
"AC025445.1",0,0
"AC025449.1",2.99,2.4
"AC025449.2",0.2,0.57
"AC025458.1",3.42,1.27
"AC025459.1",3.22,2.46
"AC025465.1",0,0
"AC025465.2",0,0
"AC025465.3",0,0
"AC025465.4",0,0
"AC025470.1",0.05,0
"AC025470.2",0.09,0.18
"AC025472.1",0.56,0
"AC025475.1",0,0
"AC025475.2",0,0
"AC025508.1",0,0.04
"AC025518.1",1.07,2.2
"AC025521.1",0.34,0.35
"AC025524.1",0,0
"AC025538.1",0.14,0
"AC025539.1",0,0.03
"AC025554.1",0,0
"AC025566.1",0,0
"AC025569.1",0.44,0.41
"AC025572.1",0,0
"AC025574.1",0.19,0
"AC025575.1",0,0
"AC025575.2",0,0.19
"AC025576.1",0,0
"AC025576.2",0,0.48
"AC025576.3",0,1.12
"AC025578.1",0,0
"AC025580.1",0.39,2.91
"AC025580.2",0.67,0.21
"AC025580.3",0.08,0.15
"AC025588.1",0.45,0.38
"AC025588.2",0,0
"AC025588.3",0,0
"AC025588.4",0,0
"AC025594.1",1.18,0
"AC025594.2",1.05,0.37
"AC025614.1",0,0
"AC025614.2",0,0
"AC025627.1",0,0
"AC025627.2",0,0
"AC025627.3",0,0.51
"AC025627.4",0,0
"AC025647.1",0,0
"AC025674.1",0,0
"AC025674.2",0,0
"AC025678.1",0,0
"AC025678.2",0.11,0
"AC025678.3",0.11,0.24
"AC025682.1",0.09,0.86
"AC025741.1",0,0.19
"AC025750.1",0,0
"AC025750.2",0,0
"AC025752.1",0.19,0.19
"AC025754.1",0,0.97
"AC025754.2",1.16,0.24
"AC025755.1",0,0
"AC025756.1",0.14,0
"AC025766.1",0.64,0.65
"AC025768.1",0,0
"AC025773.1",0,0
"AC025774.1",0.47,0.4
"AC025809.1",0.86,0.64
"AC025809.2",0.59,0.52
"AC025810.1",0,0
"AC025811.1",0.22,0.22
"AC025822.1",0,0
"AC025822.2",0,0.05
"AC025839.1",0.07,0.03
"AC025857.1",0.27,0
"AC025871.1",0,0.61
"AC025871.2",0.2,0.38
"AC025871.3",0.24,0.25
"AC025881.1",0,0
"AC025884.1",0.27,2.23
"AC025884.2",0,1.62
"AC025884.3",0,0
"AC025887.1",0,0
"AC025887.2",0.11,0.74
"AC025917.1",0.4,0.54
"AC025918.1",0.26,0.27
"AC025918.2",0,0
"AC025946.1",0.78,0
"AC025946.2",0,0
"AC025947.1",0,0
"AC026100.1",0.23,0.9
"AC026108.1",0,0.19
"AC026108.2",0,0
"AC026111.1",0.53,0.83
"AC026116.1",0,0
"AC026117.1",0,0.12
"AC026120.1",0.11,0.42
"AC026120.2",0,0
"AC026120.3",0.04,0.25
"AC026124.1",0,0.54
"AC026124.2",0.77,0.56
"AC026150.1",0.41,0.41
"AC026150.2",0.26,0
"AC026150.3",0,0
"AC026167.1",0,0
"AC026185.1",0,0.53
"AC026191.1",0.25,0.31
"AC026202.1",0,0
"AC026202.2",1.37,0.3
"AC026202.3",0,0.1
"AC026254.1",0,0
"AC026254.2",0.55,1.79
"AC026271.1",3.9,2.84
"AC026271.2",0,0
"AC026271.3",0,0
"AC026271.4",0,0
"AC026273.1",4.18,3.12
"AC026304.1",0.35,0.19
"AC026310.1",2.05,0.15
"AC026310.2",0.6,0.18
"AC026316.1",1.41,0.96
"AC026316.2",0.37,0
"AC026316.3",0.1,0.07
"AC026316.4",0,0.07
"AC026316.5",0.75,0.06
"AC026318.1",0,0
"AC026320.1",0,0
"AC026320.2",0,0
"AC026320.3",0,0
"AC026329.1",0.1,1.59
"AC026333.1",0,1.92
"AC026333.2",0,0
"AC026333.3",0.05,0
"AC026333.4",0.51,1.28
"AC026336.1",0,0.53
"AC026336.2",0,1.34
"AC026336.3",0,0.38
"AC026336.4",0,0
"AC026336.5",0,0
"AC026341.1",0.11,0.07
"AC026341.2",0,0
"AC026341.3",0.03,0
"AC026347.1",0,0
"AC026348.1",0.2,0.53
"AC026353.1",0,0
"AC026355.1",0.68,0
"AC026355.2",1.95,0.48
"AC026355.3",1.78,0
"AC026355.4",0.71,0.28
"AC026356.1",2.19,4
"AC026356.2",1.72,3.04
"AC026358.1",0.18,0.05
"AC026362.1",0,0
"AC026362.2",0.04,1.22
"AC026367.1",1,1.41
"AC026367.2",0.64,0.77
"AC026367.3",0.93,0.48
"AC026368.1",0.15,0.64
"AC026369.1",0.06,0.72
"AC026369.2",0.19,1.27
"AC026369.3",0.33,0.18
"AC026371.1",0,0
"AC026391.1",0,0.1
"AC026396.1",0,0
"AC026401.1",0,0.37
"AC026401.2",0,0.83
"AC026401.3",4.66,3.91
"AC026402.1",0,0.54
"AC026402.2",0.27,0.28
"AC026403.1",6.91,7.75
"AC026407.1",0,0
"AC026408.1",0.29,0
"AC026410.1",1.26,0.28
"AC026410.2",2.15,0
"AC026410.3",1.53,0.5
"AC026410.4",0,0
"AC026412.1",3.55,2.12
"AC026412.2",0.51,0.59
"AC026412.3",0.8,0.73
"AC026412.4",0.05,0.39
"AC026414.1",0,0
"AC026415.1",0,0
"AC026421.1",0,0
"AC026422.1",0,0.23
"AC026427.1",0,0.19
"AC026427.2",0,0
"AC026433.1",0,0
"AC026434.1",0,0
"AC026436.1",3.2,3.61
"AC026444.1",0,0
"AC026458.1",0,0.24
"AC026458.2",0,0.2
"AC026461.1",0,0
"AC026461.2",0,0
"AC026461.3",0.23,0.43
"AC026462.1",2.27,1.24
"AC026462.2",0,0
"AC026462.3",0,0
"AC026462.4",0,0
"AC026462.5",0,0
"AC026464.1",0,0
"AC026464.2",0,0
"AC026464.3",0,0
"AC026464.4",0,0
"AC026464.5",0,0
"AC026464.6",0,0
"AC026468.1",0,0
"AC026469.1",0.13,0.1
"AC026470.1",0,0
"AC026470.2",0.23,0.62
"AC026470.3",0,0
"AC026471.1",2.01,2.49
"AC026471.2",1.57,1.19
"AC026471.3",0.18,0.18
"AC026471.4",3.65,3.82
"AC026471.5",0,0.41
"AC026471.6",1.57,0.79
"AC026474.1",0,0.93
"AC026477.1",0.46,0.17
"AC026495.1",0,0.43
"AC026495.2",0,0
"AC026523.1",0,0
"AC026523.2",0.01,0.01
"AC026523.3",0,0
"AC026523.4",0,0
"AC026583.1",0,0
"AC026585.1",0.2,0
"AC026616.1",0,0.2
"AC026620.1",0,0.31
"AC026620.2",0,0.63
"AC026624.1",0,0.32
"AC026634.1",0,1.75
"AC026671.1",0,0
"AC026688.1",0.34,0.09
"AC026688.2",0,0.06
"AC026691.1",1.84,0.62
"AC026700.1",0.64,0
"AC026704.1",0.26,0
"AC026719.1",0,0
"AC026725.1",0.07,0
"AC026726.1",0.33,0.6
"AC026726.2",0,0
"AC026736.1",0,0
"AC026740.1",0.9,2.21
"AC026740.2",0,0
"AC026741.1",0.18,0.39
"AC026746.1",0,0
"AC026748.3",0.13,0.1
"AC026748.7",3.46,2.8
"AC026765.1",0,0
